Timestamp,To what extent do you follow the news of the day in general?,What sources do you follow the news of the day?,Province of residence,Living Location,age,gender,Last education degree,How much did you follow the news ten years ago?,"Ten years ago, what sources did you follow the news of the day more?","Apart from news and news programs, what do you follow more in the media?"
04/21/2022 14:36:10,very much,Instagram,Gilan,urban,18,male,high school diploma,little,national television,Comic programs
04/21/2022 17:01:47,a little,"Iran International, manoto, Radio Farda, Voice of America, Instagram, Telegram, Twitter, Facebook",Tehran,urban,57,male,high school diploma,some,"Voice of America, Radio Farda, Instagram","Documentary programs, baby programs"
04/21/2022 17:12:39,much,News websites,Tehran,urban,33,male,master's degree,a lot,News websites,"Movie and Serial, Educational or Lesson Programs, Documentary Programs, Lecture / Discussion / Dialogue"
04/21/2022 20:35:52,a little,"Iran International, Instagram",Qom,urban,40,male,high school diploma,some,BBC,Movie and Serial
04/21/2022 23:01:33,much,"Iran International, BBC, Manoto",Alborz,urban,35,male,high school diploma,little,"Internal television, Internal Newspapers","Documentary programs, comic programs"
04/22/2022 01:03:45,a little,twitter,Tehran,urban,30,male,high school diploma,little,Internal newspapers,"Movie and TV series, sports programs"
04/22/2022 01:37:03,very little,"News websites, telegram, Facebook",Alborz,urban,30,male,master's degree,a lot,Voice of America,"Sports programs, documentary programs"
04/22/2022 03:49:23,a little,Iran International,Khuzestan,urban,15,male,no high school diploma,very little,"Other satellite channels, other","Educational or Teaching Programs, Documentary Programs"
04/22/2022 03:57:16,very much,"BBC, Radio Farda",Tehran,urban,40,male,associates degree,some,BBC,"Movie and TV series, art programs"
04/22/2022 04:01:09,much,"national television, Iran International, BBC",Tehran,urban,40,male,high school diploma,some,national television,"Movie and Serial, Documentary Programs, Speech / Discussion / Dialogue"
04/22/2022 04:31:20,much,Telegram,Markazi,urban,42,male,master's degree,some,national television,Speech / Discussion / Dialogue
04/22/2022 04:52:30,little,"Internal newspapers, Iran International, BBC, manoto, Radio Farda, Voice of America, other satellite channels, news websites, Instagram, telegram, WhatsApp, Twitter, Facebook, Other",Sistan and Baluchestan,rural,20,male,no high school diploma,not at all,,"Movies & Serials, Sports Programs, Educational Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs, Child Programs, Lecture / Discussion / Dialogue, Other Programs"
04/22/2022 06:07:39,much,national television,Chaharmahal va Bakhtiari,rural,70,female,pdh and above,a lot,national television,None
04/22/2022 07:48:37,a little,"BBC, News websites",Tehran,urban,35,male,bachelor's degree,some,"Internal newspapers, BBC, news websites, other satellite channels",Movie and Serial
04/22/2022 09:14:50,a little,"BBC, news websites, Instagram, Twitter",Tehran,urban,33,male,master's degree,little,"Internal newspapers, BBCs, news websites, other satellite channels, Facebook, blogs","Movie and TV series, art programs, documentary programs"
